,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp110,comp111,comp112,comp113,comp114
Alcohol,0.2196344497579381,0.5611716698232655,0.4308987823302735,-0.15009597394382596,-0.5531083175972205,-0.00799526146890289,0.26990487748525527,0.12288747061621003,-0.003246912845908972,-0.12500402348514844,0.029277618317125987,0.12537925500885463,0.04483535770418105,0.021860941919505047
Accidents,0.7746119383563986,0.3141733214454603,-0.05148239705792846,0.28253461663707574,0.01534199950021669,0.08149274094009716,0.16190694903938027,-0.31154638572233495,0.15347404028524342,0.1290779629105512,0.20201064979218597,-0.020224458115649633,-0.06494144089515876,0.05471420503314579
Taccidents,0.7709582929205497,-0.36302338647625443,-0.15117631230310563,-0.007627353491783923,-0.02272281987200599,-0.1991716592855413,0.3215277472138855,0.044046952979237976,0.25212969223048687,-0.10909768734304523,-0.017136723413613265,-0.14995381921455614,0.07618996731601671,-0.03691288976718287
Heart,0.8434522517792294,0.07329265400849033,-0.13230202390551848,0.019729243060667388,0.22816533103743286,-0.22507583795540592,-0.174976589573291,-0.20329927036476808,-0.2338159195533526,-0.03917452439095297,0.10506506502206048,0.07464942292889883,0.13357011640163985,-0.0008706907072446802
ChronicDis,0.9017649004199193,-0.24585406423850958,0.06797813806983326,-0.05545061292755906,0.11632275264850796,-0.1433420971406375,-0.02486030441814531,0.14854803191340898,-0.11170566535767933,-0.11354091225998583,-0.12847482870493399,-0.03214266230300726,-0.05166581184550825,0.12782633033491816
Liver,0.7715691200537195,-0.028294172072931376,0.22228935372908695,-0.059499806286009906,0.2931598397546808,-0.29051899643934104,0.0928468430296981,0.2962637636994194,0.034244196097353664,0.25121355862584294,0.0015033000951008807,0.12496522349408871,-0.042577225131927604,-0.049786665885343744
Cancer,0.7241370774412136,-0.03959518345749156,0.5354697175118536,-0.05106834416253627,-0.09977198823663742,0.23027864040135734,-0.03790469289997806,0.05179450749996505,-0.27168292839631897,-0.020984516574778928,0.09604747544037583,-0.17075432654943307,-0.03965183371261251,-0.05842424798725438
DiabetesM,0.006907830916311997,-0.6427246073327126,-0.17729501819782068,0.18259313277352407,-0.589507827877274,-0.21303522139209813,0.1547095084540029,-0.20916195453499165,-0.20424529127755395,0.11232091084498531,-0.05646312806411675,0.051704490646861695,-0.03324498493824658,-0.014055292405641373
Drugs,-0.4541731059769298,0.5156168723336725,0.08106040883425714,-0.14140854797832095,-0.18669335508640983,-0.6413669527593726,-0.17442481471785323,-0.05414529097301608,0.012716960586216705,0.037413064008240675,0.013833704569362936,-0.13820960401069507,-0.029656869034409842,0.0017040106679391722
HIV,0.28226720898766194,0.1905061971141885,-0.6067333793544939,-0.5831705334263352,-0.22672709658277176,0.20541465081822952,0.024393475532665496,0.14262395898796434,-0.07420936153813008,0.22127394059439626,0.015057156597360273,-0.06787368481581608,0.03556640316467269,0.026732868808230625
Homicide,0.6954624523303335,0.27489201481825337,-0.5609035928950211,-0.20081833325162568,-0.03426097061848503,-0.01818287446270351,-0.05845592165044964,-0.060300989402295266,-0.0017531664909452042,-0.2366779490900147,-0.022188867824607494,0.07233433385192423,-0.10592605400621417,-0.06559971920915862
Pneumonia,-0.1637603339462623,-0.19988356758602152,0.3871582402680499,-0.7383792508466416,0.2524999062543482,-0.007805402038060113,0.14956764772660444,-0.38315636213845655,0.02945773525025067,0.006874626578766503,-0.056345560412344745,0.028307944614216565,-0.01567867524336409,0.000532797332420523
NervousSystem,-0.5123911174956699,0.45999163310108176,-0.21273780911378984,0.19849251084176187,0.3889466779352746,-0.040623438472581624,0.45480210110673097,-0.011960499763374429,-0.26789819105581153,-0.004252061311001626,-0.08479022404014441,-0.047507426888909694,-0.00518546752409031,-0.00527764849467324
Suicide,0.7381680025172889,0.43388342970185634,0.1444103021176917,0.21108769452380918,-0.1035301921043623,0.1509656044033758,-0.1297218309962507,-0.18767996463115488,0.07127868137155798,0.11607270068882504,-0.30886174380800624,-0.02302109805367467,0.030314107572868735,-0.021958307693268612
