Cod,Judet,RN,RF,RMN,RM,RMI,RNUP,RDIV,RSN,VM,DV
bh,Bihor,9.2,36.6,6.4,11.7,8.9,5.9,1.66,-2.5,32.2,74.72
bn,Bistrita-Nasaud,9.7,38.9,4.7,9.9,7.2,6.2,0.82,-0.2,31,75.95
cj,Cluj,9.5,37.5,1.8,10.8,4.7,7,1.06,-1.3,33,76.94
mm,Maramures,8.7,34.5,4.8,10.8,6.8,6.2,1.55,-2.1,31.2,74.65
sm,Satu Mare,8.6,33.2,10.7,11,11.4,5.7,1.49,-2.4,31.3,73.56
sj,Salaj,10,41.2,5.2,11.8,6.9,5.6,1.25,-1.8,31.4,74.87
ab,Alba,8,32.8,2.3,11.6,6.2,5.7,1.6,-3.6,32,76.08
bv,Brasov,9.6,38.6,2.1,9.6,7.1,6.1,1.62,,33.6,77.01
cv,Covasna,9.6,38.4,2.7,10.9,9.6,4.7,1.36,-1.3,32.1,75.76
hr,Harghita,9.4,38.1,4.7,10.7,6.7,4.5,1,-1.3,32.3,76.16
ms,Mures,9.4,38.1,5,11.9,9,5.2,1.19,-2.5,32.5,75.2
sb,Sibiu,9.3,36.8,4.1,10,6.7,6.2,1.57,-0.7,32.3,76.2
bc,Bacau,8,31.4,2.5,11.6,8.5,5.5,1.31,-3.6,32.6,74.5
bt,Botosani,8.3,33.7,4,12.7,9.8,5.1,1.38,-4.4,31.6,74.19
is,Iasi,9.4,36.2,0.8,9.5,6.8,6.4,1.16,-0.1,31.7,75.61
nt,Neamt,7.5,30.1,5,11.6,6.9,5.2,1.36,-4.1,32.2,75.56
sv,Suceava,10.3,41,3.9,10.3,8.1,7,1.38,,30.6,75.98
vs,Vaslui,8.2,33.1,4.5,11.6,8.1,5.8,1.24,-3.4,31.7,74.58
br,Braila,6.9,28,5.7,13.6,10.6,4.8,1.92,-6.7,33.2,75.27
bz,Buzau,7.6,32.1,3,14,8.2,4.7,1.38,-6.4,32.2,75.27
ct,Constanta,9.3,36.3,4.5,10.5,8.1,6.2,1.82,-1.2,33.2,74.99
gl,Galati,7.4,28.4,4.3,11,9.7,5.8,1.47,-3.6,33.5,75.51
tl,Tulcea,7.3,29.8,5,12.6,11.8,4.9,0.48,-5.3,33.7,73.48
vn,Vrancea,8.3,33.5,3.7,12,9.9,5.3,1.33,-3.7,32.8,75.81
ag,Arges,8.3,32.6,4.5,11.6,7.5,5.8,1.34,-3.3,32,76.09
cl,Calarasi,8.7,35.1,2.9,13.8,13.1,5,1.32,-5.1,32.9,73.69
db,Dambovita,8.3,33.1,4.1,12,6.1,5.4,1.44,-3.7,32.3,75.42
gr,Giurgiu,8.3,34.1,3.5,15.3,10.5,5.5,1.14,-7,32.1,73.9
il,Ialomita,8.2,33.7,7.8,13.3,10.4,4.9,1.41,-5.1,32.6,74.31
ph,Prahova,7.9,32,5.2,12.9,4.7,5.6,1.47,-5,32.8,75.8
tr,Teleorman,6.8,30,2.3,17,6.5,4.5,1.45,-10.2,32.5,74.58
if,Ilfov,12,43.5,3.3,9.8,3.5,7.7,1.87,2.2,32.7,75.78
b,Municipiul Bucuresti,8.8,33.6,3.5,10.5,4.4,8.2,1.46,-1.7,34.7,77.73
dj,Dolj,7.9,31.7,0.4,13.4,6,5.4,0.84,-5.5,32.2,74.58
gj,Gorj,7.5,28.7,2.9,11.1,8.8,6.1,1.69,-3.6,31.9,75.32
mh,Mehedinti,7.8,31.9,5.3,13.1,12.5,6,1.12,-5.3,32.2,74.79
ot,Olt,7,28.8,2.2,13.6,6,5.1,1.06,-6.6,32.4,74.62
vl,Valcea,6.6,26.7,1.9,9.6,5.3,3.3,0.66,-3,32.2,78.2
ar,Arad,8.5,33.6,5,12.3,6.2,6.6,1.05,-3.8,33.1,74.87
cs,Caras-Severin,6.9,28.5,4.8,12.3,9.7,5.8,1.83,-5.4,32.7,74.75
hd,Hunedoara,7.2,29.2,5.9,12.9,9.7,5.4,1.6,-5.7,33.9,74.67
tm,Timis,9.4,36,3.6,10.2,4.7,7.4,1.59,-0.8,33.2,76.15
